Domain,Objective,Sub Section,Sub Section Objective,Program,Score,Statement
Program Management,"To assess the organization__ ability to implement comprehensive programs that respond to local needs and priorities by reviewing compliance with donor requirements, management of sub-grants with partners, technical reporting and whether its comprehensive health services meet the needs of specific target populations.						",Donor Compliance,To assess the organization__ capability to respond to USG OR OTHER donor requirements; thereby ensuring the effective implementation of its USG-funded programs.,NTLP,4,"The organization
_	Is knowledgeable of the terms of the cooperative agreement, A-122 Cost Principles, and Standard Provisions
_	Has systems in place to ensure compliance with donor requirements
_	Complies consistently"
Program Management,"To assess the organization__ ability to implement comprehensive programs that respond to local needs and priorities by reviewing compliance with donor requirements, management of sub-grants with partners, technical reporting and whether its comprehensive health services meet the needs of specific target populations.						",Donor Compliance,To assess the organization__ capability to respond to USG OR OTHER donor requirements; thereby ensuring the effective implementation of its USG-funded programs.,NMCP,4,"The organization
_	Is knowledgeable of the terms of the cooperative agreement, A-122 Cost Principles, and Standard Provisions
_	Has systems in place to ensure compliance with donor requirements
_	Complies consistently"
Program Management,"To assess the organization__ ability to implement comprehensive programs that respond to local needs and priorities by reviewing compliance with donor requirements, management of sub-grants with partners, technical reporting and whether its comprehensive health services meet the needs of specific target populations.						",Donor Compliance,To assess the organization__ capability to respond to USG OR OTHER donor requirements; thereby ensuring the effective implementation of its USG-funded programs.,NACP,4,"The organization
_	Is knowledgeable of the terms of the cooperative agreement, A-122 Cost Principles, and Standard Provisions
_	Has systems in place to ensure compliance with donor requirements
_	Complies consistently"
Program Management,"To assess the organization__ ability to implement comprehensive programs that respond to local needs and priorities by reviewing compliance with donor requirements, management of sub-grants with partners, technical reporting and whether its comprehensive health services meet the needs of specific target populations.						",Sub-grant Management,"To assess the organization__ ability to subcontract with other organizations, and monitor technical implementation and financial management of sub-grants.",RSSH,4,"The organization has
_	Complete and appropriate sub-grant management policies and procedures
_	Formal sub-grants with all partners, and they are oriented on their responsibilities
_	Sub-grantees who submit all required reports in a timely manner
_	Solid policies and guidance for providing regularly scheduled supervision and support
_	Regular supervisory visits to assess inventory and financial records and implementation; feedback is shared with partners and used for follow up visits"
Program Management,"To assess the organization__ ability to implement comprehensive programs that respond to local needs and priorities by reviewing compliance with donor requirements, management of sub-grants with partners, technical reporting and whether its comprehensive health services meet the needs of specific target populations.						",Sub-grant Management,"To assess the organization__ ability to subcontract with other organizations, and monitor technical implementation and financial management of sub-grants.",NMCP,4,"The organization has
_	Complete and appropriate sub-grant management policies and procedures
_	Formal sub-grants with all partners, and they are oriented on their responsibilities
_	Sub-grantees who submit all required reports in a timely manner
_	Solid policies and guidance for providing regularly scheduled supervision and support
_	Regular supervisory visits to assess inventory and financial records and implementation; feedback is shared with partners and used for follow up visits"
Program Management,"To assess the organization__ ability to implement comprehensive programs that respond to local needs and priorities by reviewing compliance with donor requirements, management of sub-grants with partners, technical reporting and whether its comprehensive health services meet the needs of specific target populations.						",Sub-grant Management,"To assess the organization__ ability to subcontract with other organizations, and monitor technical implementation and financial management of sub-grants.",NACP,3,"The organization has
_	Most or all documented and compliant sub-grant management policies and procedures
_	Formal sub-grants with all partners; some sub-grantees are oriented on their responsibilities
_	Sub-grantees who do not consistently submit financial and technical reports
_	Policies and guidance for supervising and supporting sub-grantees, but not all staff are aware of or utilize the guidance
_	Conducted infrequent supervisory visits"
Program Management,"To assess the organization__ ability to implement comprehensive programs that respond to local needs and priorities by reviewing compliance with donor requirements, management of sub-grants with partners, technical reporting and whether its comprehensive health services meet the needs of specific target populations.						",Technical Reporting,"To review the organization__ ability to document technical activities and results for donors, program planning and program development.",RSSH,4,"The organization
_	Documents both quantitative and qualitative workplan progress, and reviews objectives and strategies, facilitating factors and barriers
_	Documents lessons learned and best practices
_	Reports on donor, government and other program indicators
_	Uses information to review/revise strategies with staff and stakeholders"
Program Management,"To assess the organization__ ability to implement comprehensive programs that respond to local needs and priorities by reviewing compliance with donor requirements, management of sub-grants with partners, technical reporting and whether its comprehensive health services meet the needs of specific target populations.						",Technical Reporting,"To review the organization__ ability to document technical activities and results for donors, program planning and program development.",NTLP,3,"The organization
_	Documents both qualitative and quantitative workplan progress and reviews objectives and strategies, facilitating factors and barriers
_	Documents lessons learned and best practices
_	Reports on donor, government or other program indicators
_	Does not use information to review/revise strategies with staff and stakeholders"
Program Management,"To assess the organization__ ability to implement comprehensive programs that respond to local needs and priorities by reviewing compliance with donor requirements, management of sub-grants with partners, technical reporting and whether its comprehensive health services meet the needs of specific target populations.						",Technical Reporting,"To review the organization__ ability to document technical activities and results for donors, program planning and program development.",NMCP,3,"The organization
_	Documents both qualitative and quantitative workplan progress and reviews objectives and strategies, facilitating factors and barriers
_	Documents lessons learned and best practices
_	Reports on donor, government or other program indicators
_	Does not use information to review/revise strategies with staff and stakeholders"
Program Management,"To assess the organization__ ability to implement comprehensive programs that respond to local needs and priorities by reviewing compliance with donor requirements, management of sub-grants with partners, technical reporting and whether its comprehensive health services meet the needs of specific target populations.						",Technical Reporting,"To review the organization__ ability to document technical activities and results for donors, program planning and program development.",NACP,4,"The organization
_	Documents both quantitative and qualitative workplan progress, and reviews objectives and strategies, facilitating factors and barriers
_	Documents lessons learned and best practices
_	Reports on donor, government and other program indicators
_	Uses information to review/revise strategies with staff and stakeholders"
Program Management,"To assess the organization__ ability to implement comprehensive programs that respond to local needs and priorities by reviewing compliance with donor requirements, management of sub-grants with partners, technical reporting and whether its comprehensive health services meet the needs of specific target populations.						",Referral,"To assess the organization__ systems and processes for directing clients to other providers, ensuring those providers offer quality services and monitoring clients_ access to services.",NTLP,4,"The organization has
_	A clear referral process system and strong linkages with government, private or NGO health or social service providers to ensure that clients requiring HIV and AIDS treatment or other health or support services have access to them
_	A process for following up clients and monitoring quality of care
_	Clients who are consistently referred to appropriate locations and who do not encounter problems at referral sites"
Program Management,"To assess the organization__ ability to implement comprehensive programs that respond to local needs and priorities by reviewing compliance with donor requirements, management of sub-grants with partners, technical reporting and whether its comprehensive health services meet the needs of specific target populations.						",Referral,"To assess the organization__ systems and processes for directing clients to other providers, ensuring those providers offer quality services and monitoring clients_ access to services.",NMCP,4,"The organization has
_	A clear referral process system and strong linkages with government, private or NGO health or social service providers to ensure that clients requiring HIV and AIDS treatment or other health or support services have access to them
_	A process for following up clients and monitoring quality of care
_	Clients who are consistently referred to appropriate locations and who do not encounter problems at referral sites"
Program Management,"To assess the organization__ ability to implement comprehensive programs that respond to local needs and priorities by reviewing compliance with donor requirements, management of sub-grants with partners, technical reporting and whether its comprehensive health services meet the needs of specific target populations.						",Referral,"To assess the organization__ systems and processes for directing clients to other providers, ensuring those providers offer quality services and monitoring clients_ access to services.",NACP,4,"The organization has
_	A clear referral process system and strong linkages with government, private or NGO health or social service providers to ensure that clients requiring HIV and AIDS treatment or other health or support services have access to them
_	A process for following up clients and monitoring quality of care
_	Clients who are consistently referred to appropriate locations and who do not encounter problems at referral sites"
Program Management,"To assess the organization__ ability to implement comprehensive programs that respond to local needs and priorities by reviewing compliance with donor requirements, management of sub-grants with partners, technical reporting and whether its comprehensive health services meet the needs of specific target populations.						",Community Involvement,To ensure the organization__ programs respond to and address community needs by reviewing how they involve community members in planning and decision-making.,RSSH,1,"The organization
_	Orients communities on its programs, but does not actively include them
_	Does not involve affected families and communities in planning and decision-making"
Program Management,"To assess the organization__ ability to implement comprehensive programs that respond to local needs and priorities by reviewing compliance with donor requirements, management of sub-grants with partners, technical reporting and whether its comprehensive health services meet the needs of specific target populations.						",Community Involvement,To ensure the organization__ programs respond to and address community needs by reviewing how they involve community members in planning and decision-making.,NTLP,4,"The organization
_	Orients communities and leaders on its program and actively engages them in activities and service provision
_	Involves affected families and communities in planning and decision- making and consistently integrates their views into program design and revision"
Program Management,"To assess the organization__ ability to implement comprehensive programs that respond to local needs and priorities by reviewing compliance with donor requirements, management of sub-grants with partners, technical reporting and whether its comprehensive health services meet the needs of specific target populations.						",Community Involvement,To ensure the organization__ programs respond to and address community needs by reviewing how they involve community members in planning and decision-making.,NMCP,4,"The organization
_	Orients communities and leaders on its program and actively engages them in activities and service provision
_	Involves affected families and communities in planning and decision- making and consistently integrates their views into program design and revision"
Program Management,"To assess the organization__ ability to implement comprehensive programs that respond to local needs and priorities by reviewing compliance with donor requirements, management of sub-grants with partners, technical reporting and whether its comprehensive health services meet the needs of specific target populations.						",Community Involvement,To ensure the organization__ programs respond to and address community needs by reviewing how they involve community members in planning and decision-making.,NACP,3,"The organization
_	Orients communities and leaders on its program and actively engages them in the activities
_	Involves affected families and communities in planning and decision- making and sometimes integrates their ideas into program design and revision"
Program Management,"To assess the organization__ ability to implement comprehensive programs that respond to local needs and priorities by reviewing compliance with donor requirements, management of sub-grants with partners, technical reporting and whether its comprehensive health services meet the needs of specific target populations.						",Culture and Gender,To evaluate the organization__ systems for assessing culture and gender issues among the populations it serves and for integrating cultural and gender concerns into its programs.,RSSH,3,"The organization does
_	Consider local cultural or gender concerns in its programming
_	Have tools for assessing cultural and gender issues
_	Have guidelines for culturally relevant and gender based approaches and programming
_	Not train staff on how to use the tools or findings"
Program Management,"To assess the organization__ ability to implement comprehensive programs that respond to local needs and priorities by reviewing compliance with donor requirements, management of sub-grants with partners, technical reporting and whether its comprehensive health services meet the needs of specific target populations.						",Culture and Gender,To evaluate the organization__ systems for assessing culture and gender issues among the populations it serves and for integrating cultural and gender concerns into its programs.,NTLP,3,"The organization does
_	Consider local cultural or gender concerns in its programming
_	Have tools for assessing cultural and gender issues
_	Have guidelines for culturally relevant and gender based approaches and programming
_	Not train staff on how to use the tools or findings"
Program Management,"To assess the organization__ ability to implement comprehensive programs that respond to local needs and priorities by reviewing compliance with donor requirements, management of sub-grants with partners, technical reporting and whether its comprehensive health services meet the needs of specific target populations.						",Culture and Gender,To evaluate the organization__ systems for assessing culture and gender issues among the populations it serves and for integrating cultural and gender concerns into its programs.,NMCP,3,"The organization does
_	Consider local cultural or gender concerns in its programming
_	Have tools for assessing cultural and gender issues
_	Have guidelines for culturally relevant and gender based approaches and programming
_	Not train staff on how to use the tools or findings"
Program Management,"To assess the organization__ ability to implement comprehensive programs that respond to local needs and priorities by reviewing compliance with donor requirements, management of sub-grants with partners, technical reporting and whether its comprehensive health services meet the needs of specific target populations.						",Culture and Gender,To evaluate the organization__ systems for assessing culture and gender issues among the populations it serves and for integrating cultural and gender concerns into its programs.,NACP,4,"The organization does
_	Consider local culture or gender concerns in its programming
_	View culture and gender as integral to program success
_	Have tools for assessing cultural and gender issues
_	Have guidelines for culturally relevant and gender-based approaches and programming
_	Train staff on the tools, interpreting findings and incorporating elements of culture and gender in program design"
Program Performance Management,"To assess the organization__ systems for overseeing field activities, for setting standards and monitoring actual performance against them and for setting indicators and monitoring progress toward achieving outcomes.						",Field Oversight Activities,To assess the organization__ systems for overseeing field activities.,RSSH,4,"The organization
_	Has documented and comprehensive field oversight policies and procedures
_	Approves workplans and provides feedback
_	Reviews data and progress reports and provides feedback
_	Monitors compliance with program and donor requirements
_	Reviews and approves field-level HR and finance manuals
_	Provides technical and administrative guidance
_	Makes at least semi-annual supervisory visits, and results are discussed with management and technical staff"
Program Performance Management,"To assess the organization__ systems for overseeing field activities, for setting standards and monitoring actual performance against them and for setting indicators and monitoring progress toward achieving outcomes.						",Field Oversight Activities,To assess the organization__ systems for overseeing field activities.,NTLP,4,"The organization
_	Has documented and comprehensive field oversight policies and procedures
_	Approves workplans and provides feedback
_	Reviews data and progress reports and provides feedback
_	Monitors compliance with program and donor requirements
_	Reviews and approves field-level HR and finance manuals
_	Provides technical and administrative guidance
_	Makes at least semi-annual supervisory visits, and results are discussed with management and technical staff"
Program Performance Management,"To assess the organization__ systems for overseeing field activities, for setting standards and monitoring actual performance against them and for setting indicators and monitoring progress toward achieving outcomes.						",Field Oversight Activities,To assess the organization__ systems for overseeing field activities.,NMCP,4,"The organization
_	Has documented and comprehensive field oversight policies and procedures
_	Approves workplans and provides feedback
_	Reviews data and progress reports and provides feedback
_	Monitors compliance with program and donor requirements
_	Reviews and approves field-level HR and finance manuals
_	Provides technical and administrative guidance
_	Makes at least semi-annual supervisory visits, and results are discussed with management and technical staff"
Program Performance Management,"To assess the organization__ systems for overseeing field activities, for setting standards and monitoring actual performance against them and for setting indicators and monitoring progress toward achieving outcomes.						",Field Oversight Activities,To assess the organization__ systems for overseeing field activities.,NACP,3,"The organization
_	Has most or all documented oversight policies and procedures
_	Approves annual workplans on a regular basis
_	Monitors compliance with program and donor requirements
_	Reviews and approves field-level HR and finance manuals
_	Reviews quarterly project M&E data and progress reports
_	Provides technical and administrative guidance
_	Makes irregular supervision visits"
Program Performance Management,"To assess the organization__ systems for overseeing field activities, for setting standards and monitoring actual performance against them and for setting indicators and monitoring progress toward achieving outcomes.						",Standards,To assess the organization__ application of recognized standards in service delivery.,NTLP,4,"The organization has
_	Solid standards for service delivery
_	Made staff aware of the standards and has trained staff to apply them
_	A process for monitoring adherence to standards that is consistently adhered to
_	A process for improving adherence to standards"
Program Performance Management,"To assess the organization__ systems for overseeing field activities, for setting standards and monitoring actual performance against them and for setting indicators and monitoring progress toward achieving outcomes.						",Standards,To assess the organization__ application of recognized standards in service delivery.,NMCP,3,"The organization has
_	A good system for using standards for service delivery
_	Made staff aware of the standards
_	Appropriately trained staff to apply and monitor the standards
_	A process for monitoring standards, but it is not applied comprehensively"
Program Performance Management,"To assess the organization__ systems for overseeing field activities, for setting standards and monitoring actual performance against them and for setting indicators and monitoring progress toward achieving outcomes.						",Standards,To assess the organization__ application of recognized standards in service delivery.,NACP,4,"The organization has
_	Solid standards for service delivery
_	Made staff aware of the standards and has trained staff to apply them
_	A process for monitoring adherence to standards that is consistently adhered to
_	A process for improving adherence to standards"
Program Performance Management,"To assess the organization__ systems for overseeing field activities, for setting standards and monitoring actual performance against them and for setting indicators and monitoring progress toward achieving outcomes.						",Quality Assurance,To assess the organization__ ability to identify and address gaps in meeting performance standards.,RSSH,4,"The organization has
_	Performance expectations and a system that assesses performance against standards
_	Taken client satisfaction into consideration
_	Analyzed gaps or weaknesses to identify root causes
_	Identified a plan to address root causes
_	An improvement plan to address gaps or weaknesses
_	Studied and incorporated the results into the program"
Program Performance Management,"To assess the organization__ systems for overseeing field activities, for setting standards and monitoring actual performance against them and for setting indicators and monitoring progress toward achieving outcomes.						",Quality Assurance,To assess the organization__ ability to identify and address gaps in meeting performance standards.,NTLP,4,"The organization has
_	Performance expectations and a system that assesses performance against standards
_	Taken client satisfaction into consideration
_	Analyzed gaps or weaknesses to identify root causes
_	Identified a plan to address root causes
_	An improvement plan to address gaps or weaknesses
_	Studied and incorporated the results into the program"
Program Performance Management,"To assess the organization__ systems for overseeing field activities, for setting standards and monitoring actual performance against them and for setting indicators and monitoring progress toward achieving outcomes.						",Quality Assurance,To assess the organization__ ability to identify and address gaps in meeting performance standards.,NMCP,4,"The organization has
_	Performance expectations and a system that assesses performance against standards
_	Taken client satisfaction into consideration
_	Analyzed gaps or weaknesses to identify root causes
_	Identified a plan to address root causes
_	An improvement plan to address gaps or weaknesses
_	Studied and incorporated the results into the program"
Program Performance Management,"To assess the organization__ systems for overseeing field activities, for setting standards and monitoring actual performance against them and for setting indicators and monitoring progress toward achieving outcomes.						",Quality Assurance,To assess the organization__ ability to identify and address gaps in meeting performance standards.,NACP,3,"The organization has
_	Performance expectations and a process that assesses performance against standards
_	Taken client satisfaction into consideration
_	Included an analysis of gaps or weaknesses
_	Not developed an improvement plan"
Program Performance Management,"To assess the organization__ systems for overseeing field activities, for setting standards and monitoring actual performance against them and for setting indicators and monitoring progress toward achieving outcomes.						",Supervision,To assess the organization__ systems for supportive review of and feedback on staff performance and program activities.,RSSH,4,"The organization has
_	A detailed supervision plan with a supportive approach
_	Detailed supervisory responsibilities that are followed
_	Trained supervisors and provided them with tools
_	A mechanism for carrying out visits according to the timeline
_	A process for documenting and discussing findings with staff and management
_	A process for following up and addressing issues"
Program Performance Management,"To assess the organization__ systems for overseeing field activities, for setting standards and monitoring actual performance against them and for setting indicators and monitoring progress toward achieving outcomes.						",Supervision,To assess the organization__ systems for supportive review of and feedback on staff performance and program activities.,NTLP,4,"The organization has
_	A detailed supervision plan with a supportive approach
_	Detailed supervisory responsibilities that are followed
_	Trained supervisors and provided them with tools
_	A mechanism for carrying out visits according to the timeline
_	A process for documenting and discussing findings with staff and management
_	A process for following up and addressing issues"
Program Performance Management,"To assess the organization__ systems for overseeing field activities, for setting standards and monitoring actual performance against them and for setting indicators and monitoring progress toward achieving outcomes.						",Supervision,To assess the organization__ systems for supportive review of and feedback on staff performance and program activities.,NMCP,4,"The organization has
_	A detailed supervision plan with a supportive approach
_	Detailed supervisory responsibilities that are followed
_	Trained supervisors and provided them with tools
_	A mechanism for carrying out visits according to the timeline
_	A process for documenting and discussing findings with staff and management
_	A process for following up and addressing issues"
Program Performance Management,"To assess the organization__ systems for overseeing field activities, for setting standards and monitoring actual performance against them and for setting indicators and monitoring progress toward achieving outcomes.						",Supervision,To assess the organization__ systems for supportive review of and feedback on staff performance and program activities.,NACP,3,"The organization has:
_	A clear supervision plan with a supportive approach
_	Detailed supervisory responsibilities that are followed
_	Trained supervisors and provided them with tools
_	Logistical and program barriers to providing regular supervision
_	No process for documenting or discussing findings with staff and management"
Program Performance Management,"To assess the organization__ systems for overseeing field activities, for setting standards and monitoring actual performance against them and for setting indicators and monitoring progress toward achieving outcomes.						",Monitoring and Evaluation (M&E),"To assess how the organization collects and uses data to plan, monitor and evaluate its programs.",RSSH,4,"The organization has
_	A well-defined M&E plan
_	Process and outcome indicators
_	A process for using data for follow-up monitoring, program adjustments, planning and determining progress towards achieving targets
_	A process for data quality review
_	A strategy for reporting on progress against targets and involving staff and data collectors in reviewing and using findings
_	A strategy for regularly sharing information with stakeholders, including the community"
Program Performance Management,"To assess the organization__ systems for overseeing field activities, for setting standards and monitoring actual performance against them and for setting indicators and monitoring progress toward achieving outcomes.						",Monitoring and Evaluation (M&E),"To assess how the organization collects and uses data to plan, monitor and evaluate its programs.",NTLP,4,"The organization has
_	A well-defined M&E plan
_	Process and outcome indicators
_	A process for using data for follow-up monitoring, program adjustments, planning and determining progress towards achieving targets
_	A process for data quality review
_	A strategy for reporting on progress against targets and involving staff and data collectors in reviewing and using findings
_	A strategy for regularly sharing information with stakeholders, including the community"
Program Performance Management,"To assess the organization__ systems for overseeing field activities, for setting standards and monitoring actual performance against them and for setting indicators and monitoring progress toward achieving outcomes.						",Monitoring and Evaluation (M&E),"To assess how the organization collects and uses data to plan, monitor and evaluate its programs.",NMCP,4,"The organization has
_	A well-defined M&E plan
_	Process and outcome indicators
_	A process for using data for follow-up monitoring, program adjustments, planning and determining progress towards achieving targets
_	A process for data quality review
_	A strategy for reporting on progress against targets and involving staff and data collectors in reviewing and using findings
_	A strategy for regularly sharing information with stakeholders, including the community"
Program Performance Management,"To assess the organization__ systems for overseeing field activities, for setting standards and monitoring actual performance against them and for setting indicators and monitoring progress toward achieving outcomes.						",Monitoring and Evaluation (M&E),"To assess how the organization collects and uses data to plan, monitor and evaluate its programs.",NACP,3,"The organization has
_	A well-defined M&E plan
_	Process and outcome indicators
_	Trained staff to collect data, and data collection is consistently done
_	A process for consistently using data/findings for follow-up monitoring, support or planning and reporting against targets
_	No process for sharing results with field and stakeholders"
